Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2008-10-06,1.789,1.789,1.767,1.767,261720.0,1.7703,1.7556,1.7117,1.7322,1.7515,1.765,1.7782,1.798,1.8616,1.8665,1.8364,1.8683,62.8872,58.236,53.5191,48.287,,,,,,
2008-10-07,1.767,1.778,1.756,1.767,350100.0,1.7667,1.7622,1.7217,1.7311,1.7507,1.7642,1.7767,1.7954,1.8587,1.867,1.8341,1.8702,62.8872,58.236,53.5191,48.287,0.0,,,,,
2008-10-08,1.733,1.733,1.6669999999999998,1.7,136080.0,1.6974,1.7578,1.725,1.7267,1.7481,1.7614,1.774,1.7917,1.8551,1.8669,1.8319,1.8694,21.2758,41.6041,42.4927,42.785,-0.038654942275388904,,,,,
2008-10-09,1.711,1.711,1.661,1.689,121140.0,1.6846,1.7422,1.73,1.7217,1.7452,1.7581,1.7711,1.7878,1.8516,1.8661,1.8298,1.8672,18.2559,39.4895,40.9774,41.9607,-0.006491613236507265,0.02069953839899742,,,,
2008-10-10,1.639,1.6669999999999998,1.6,1.6669999999999998,653040.0,1.6094,1.7178,1.7311,1.715,1.7415,1.7547,1.7678,1.7837,1.8478,1.8651,1.8277,1.8631,12.8038,35.4369,38.0545,40.3522,-0.01311103405700631,0.01698424620018689,,,,
2008-10-13,1.611,1.611,1.606,1.606,41400.0,1.6106,1.6856,1.7206,1.7058,1.7357,1.7493,1.7632,1.7786,1.8438,1.8634,1.8252,1.8603,5.7366,26.8971,31.4178,36.3843,-0.03727898824408682,0.016205807608411112,0.01783620085128357,,,
2008-10-14,1.6669999999999998,1.6780000000000002,1.611,1.611,397260.0,1.6623,1.6544,1.7083,1.6964,1.7298,1.7443,1.7588,1.7736,1.8403,1.8613,1.8232,1.8563,12.3349,28.6555,32.5691,36.9672,0.003108488670267362,0.020323677565001457,0.01870187258385492,,,
2008-10-15,1.6,1.622,1.556,1.556,49680.0,1.6048,1.6256,1.6917,1.6847,1.7209,1.7379,1.7532,1.7681,1.8355,1.8588,1.8216,1.8524,6.0171,22.5527,27.5825,33.7666,-0.034736678438637425,0.022619564924180515,0.01770074092081272,,,
2008-10-16,1.5,1.633,1.5,1.528,18900.0,1.523,1.5933,1.6678,1.6778,1.7122,1.7317,1.7471,1.7619999999999998,1.8304,1.8561,1.8194,1.8488,4.3472,20.14,25.4817,32.3193,-0.018158735011871152,0.018970941309048184,0.016587474349891877,,,
2008-10-17,1.556,1.556,1.528,1.528,10800.0,1.5509,1.5656,1.6417,1.6708,1.7031,1.7251,1.7412,1.7569,1.8256,1.8535,1.8173,1.8453,4.3472,20.14,25.4817,32.3193,0.0,0.017374333054066257,0.018839237712448893,,,
2008-10-20,1.511,1.511,1.5,1.5,30600.0,1.5082,1.5444,1.615,1.6633,1.6931,1.7174,1.735,1.751,1.8207,1.8504,1.8154,1.8415,2.6761,17.7383,23.4135,30.9018,-0.01849458263616438,0.01058223383588433,0.01545651904430956,0.015994513133259187,,
